Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,57123924.0,20464796.0,Windows,AMD64,CPython,3.7.4,2020-01-04 02:33:09.957996
Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,34712097.0,11376163.0,Windows,AMD64,CPython,3.8.0,2020-01-04 16:29:50.349941
Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,92394935.0,31366455.0,Linux,x86_64,CPython,3.7.5,2020-01-08 02:46:22.793397
Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,69860156.0,26052985.0,Linux,x86_64,CPython,3.6.9,2020-01-09 11:59:28.834196
Intel(R) Core(TM) i5-5300U CPU @ 2.30GHz,24762291.0,9286191.0,Linux,x86_64,CPython,3.6.9,2020-01-09 11:59:56.124485
Intel(R) Core(TM) i3-5010U CPU @ 2.10GHz,39063867.0,13849600.0,Linux,x86_64,CPython,3.6.8,2020-01-09 12:00:05.622948
Intel(R) Core(TM) i3-8130U CPU @ 2.20GHz,30548996.0,7297485.0,Windows,AMD64,CPython,3.8.0,2020-01-09 12:00:11.520087
Intel(R) Core(TM) i5-5250U CPU @ 1.60GHz,49740788.0,18110553.0,Linux,x86_64,CPython,3.6.9,2020-01-09 12:00:26.432380
Intel(R) Core(TM) i5-4200M CPU @ 2.50GHz,51222661.0,19757225.0,Linux,x86_64,CPython,3.6.9,2020-01-09 12:00:35.949150
Intel(R) Core(TM) i5-6360U CPU @ 2.00GHz,47243261.0,24333849.0,Darwin,x86_64,CPython,2.7.10,2020-01-09 18:04:59.898458
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,72591044.0,26065183.0,Linux,x86_64,CPython,3.6.9,2020-01-10 01:54:50.293661
Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,32918557.0,10929607.0,Windows,AMD64,CPython,3.8.1,2020-01-10 01:57:18.426147
Intel(R) Core(TM) i5-3450 CPU @ 3.10GHz,54961189.0,20468486.0,Linux,x86_64,CPython,3.6.9,2020-01-10 03:45:17.996105
Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,31928880.0,10754518.0,Windows,AMD64,CPython,3.8.1,2020-02-20 06:03:36.064187
Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,31229449.0,10231043.0,Windows,AMD64,CPython,3.8.1,2020-02-20 07:29:06.330127
Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,67288610.0,26183407.0,Linux,x86_64,CPython,3.6.9,2020-02-20 16:01:49.174745
Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,77108564.0,29345923.0,Linux,x86_64,CPython,3.6.9,2020-02-27 04:04:32.576925
Intel(R) Pentium(R) CPU G4400 @ 3.30GHz,38543071.0,11269015.0,Windows,AMD64,CPython,3.7.0,2020-03-05 01:32:37.975028
"Intel64 Family 6 Model 158 Stepping 11, GenuineIntel",40036833.0,14954702.0,Windows,AMD64,CPython,2.7.17,2020-04-15 07:11:55.709918
Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,33206043.0,13103583.0,Windows,AMD64,CPython,3.8.2,2020-05-21 12:04:48.974658
AMD Ryzen 5 1600 Six-Core Processor,73473172.0,26585313.0,Linux,x86_64,CPython,3.8.2,2020-05-21 23:50:28.948969
Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz,57005867.0,20288895.0,Darwin,x86_64,CPython,3.7.4,2020-05-22 11:15:44.117501
AMD Ryzen 5 1600 Six-Core Processor,72244657.0,26514422.0,Linux,x86_64,CPython,3.8.2,2020-05-22 14:20:47.003848
Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz,56016132.0,19223708.0,Windows,AMD64,CPython,3.7.3,2020-05-22 14:34:52.713533
Intel(R) Core(TM) i3-4030U CPU @ 1.90GHz,19776441.0,11019188.0,Linux,x86_64,CPython,3.6.9,2020-05-22 14:39:37.883445
Intel(R) Core(TM) i7-4770K CPU @ 3.50GHz,47632774.0,29504730.0,Linux,x86_64,CPython,2.7.17,2020-06-04 03:42:12.118233
Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,45398416.0,23510161.0,Windows,AMD64,CPython,3.6.7,2020-06-07 13:51:47.912058
Intel(R) Core(TM) i7-7600U CPU @ 2.80GHz,75672261.0,24624813.0,Linux,x86_64,CPython,3.8.2,2020-06-21 06:31:39.664025
Intel(R) Xeon(R) CPU @ 2.20GHz,47338136.0,17980851.0,Linux,x86_64,CPython,3.6.9,2020-06-22 03:36:18.194042
AMD Ryzen 5 3600 6-Core Processor,77401178.0,27957091.0,Windows,AMD64,CPython,3.8.3,2020-07-07 01:00:06.933354
Intel(R) Core(TM) i5-6198DU CPU @ 2.30GHz,49566931.0,18801707.0,Linux,x86_64,CPython,3.6.9,2020-07-09 12:20:02.708242
Intel(R) Core(TM) i3-4160 CPU @ 3.60GHz,68446780.0,24962981.0,Linux,x86_64,CPython,3.8.2,2020-07-09 12:21:14.748802
Intel(R) Core(TM) i5-8259U CPU @ 2.30GHz,56340402.0,19583365.0,Darwin,x86_64,CPython,3.7.3,2020-07-11 07:08:58.312393
Intel(R) Core(TM) i5-5300U CPU @ 2.30GHz,52579514.0,18471434.0,Linux,x86_64,CPython,3.6.9,2020-07-11 07:11:14.845528
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,55770890.0,21363048.0,Linux,x86_64,CPython,3.8.3,2020-07-18 08:30:45.402607
Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,67541445.0,23472314.0,Linux,x86_64,CPython,3.8.2,2020-07-22 17:10:23.062621
Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,47164351.0,18258078.0,Linux,x86_64,CPython,3.6.9,2020-08-27 00:28:02.925788
Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,44479874.0,17220938.0,Linux,x86_64,CPython,3.6.9,2020-08-27 03:22:06.191224
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,58441254.0,19972079.0,Windows,AMD64,CPython,3.7.5,2020-09-04 03:05:20.933969
Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,76145803.0,26902620.0,Windows,AMD64,CPython,3.7.6,2020-09-04 03:09:58.392694
Intel(R) Core(TM) i7-6500U CPU @ 2.50GHz,49406632.0,17680524.0,Windows,AMD64,CPython,3.6.5,2020-09-04 07:41:10.402286
Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,67083802.0,26239217.0,Linux,x86_64,CPython,3.6.9,2020-09-12 08:29:32.459472
Intel(R) Core(TM) i5-3437U CPU @ 1.90GHz,27873377.0,8305760.0,Windows,AMD64,CPython,3.8.5,2020-10-08 00:29:13.651417
Intel(R) Core(TM) i3-8100T CPU @ 3.10GHz,13763720.0,5515561.0,Linux,x86_64,CPython,3.8.5,2020-10-08 08:47:19.004052
Intel(R) Core(TM) i3-8100T CPU @ 3.10GHz,13798173.0,5534169.0,Linux,x86_64,CPython,3.8.5,2020-10-08 08:50:31.243780
Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,61738684.0,20591596.0,Windows,AMD64,CPython,3.7.5,2020-10-14 06:33:09.238097
Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,86720490.0,32513981.0,Linux,x86_64,CPython,3.8.5,2020-11-10 13:34:00.166800
Intel(R) Core(TM) i3-4150 CPU @ 3.50GHz,37192173.0,11893942.0,Windows,AMD64,CPython,3.7.1,2020-11-13 04:35:54.240524
Intel(R) Core(TM) i7-4500U CPU @ 1.80GHz,57739134.0,21564660.0,Linux,x86_64,CPython,3.8.5,2020-11-28 20:13:00.858117
Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz,94839048.0,33783977.0,Linux,x86_64,CPython,3.8.2,2020-12-15 12:21:45.528206
Intel(R) Core(TM) i7-5500U CPU @ 2.40GHz,53260524.0,19017728.0,Linux,x86_64,CPython,3.6.9,2020-12-15 12:21:47.473939
Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,46731622.0,23415085.0,Linux,x86_64,CPython,3.8.2,2020-12-15 12:22:15.557862
AMD EPYC Processor (with IBPB),31035874.0,11083364.0,Linux,x86_64,CPython,3.8.5,2020-12-30 11:16:09.865424
amd64,8651702.0,3736773.0,OpenBSD,amd64,CPython,3.8.6,2021-01-23 09:27:04.186174
Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,23078752.0,6708222.0,Linux,x86_64,CPython,3.6.9,2021-01-28 12:05:05.041454
Intel(R) Core(TM) i7-4750HQ CPU @ 2.00GHz,12961930.0,4741662.0,Windows,AMD64,CPython,3.8.7,2021-01-28 12:08:10.919792
Intel(R) Core(TM) i7-8700K CPU @ 3.70GHz,66153316.0,23834322.0,Windows,AMD64,CPython,3.7.1,2021-01-29 18:06:38.589873
Intel(R) Core(TM) i3-1000NG4 CPU @ 1.10GHz,50696177.0,18194890.0,Darwin,x86_64,CPython,3.9.1,2021-01-31 06:52:58.471896
AMD Athlon 200GE with Radeon Vega Graphics,61960172.0,21790860.0,Windows,AMD64,CPython,3.9.1,2021-02-16 05:54:54.138013
AMD Athlon 200GE with Radeon Vega Graphics,30619431.0,9184878.0,Windows,AMD64,CPython,3.9.0,2021-02-18 08:54:07.977852
amd64,513064709.0,403414831.0,OpenBSD,amd64,PyPy,2.7.13,2021-02-26 17:15:41.993385
Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,65043865.0,25585622.0,Linux,x86_64,CPython,3.6.9,2021-03-02 10:08:48.458282
Intel(R) Core(TM) i3-3110M CPU @ 2.40GHz,23850002.0,6976101.0,Windows,AMD64,CPython,3.8.5,2021-03-03 08:55:01.681055
Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,75280361.0,26097339.0,Linux,x86_64,CPython,3.8.5,2021-03-12 17:11:54.014999
Intel(R) Core(TM) i3-3217U CPU @ 1.80GHz,28473916.0,10397057.0,Linux,x86_64,CPython,3.6.9,2021-04-19 09:44:16.306926
Intel(R) Core(TM) i5-8300H CPU @ 2.30GHz,71233275.0,27406508.0,Linux,x86_64,CPython,3.6.9,2021-04-20 02:56:18.254119
Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,69779288.0,23459943.0,Linux,x86_64,CPython,3.8.5,2021-04-20 12:22:25.108231
Intel(R) Core(TM) i3-3217U CPU @ 1.80GHz,27857426.0,10269223.0,Linux,x86_64,CPython,3.6.9,2021-04-20 12:22:29.058611
Intel(R) Core(TM) i5-5257U CPU @ 2.70GHz,41417533.0,15729333.0,Darwin,x86_64,CPython,3.9.4,2021-04-20 12:23:06.932650
Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,46657701.0,16240945.0,Linux,x86_64,CPython,3.8.5,2021-04-20 12:23:16.091398
Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,77389198.0,26847223.0,Windows,AMD64,CPython,3.9.1,2021-04-20 12:24:31.943704
Intel(R) Core(TM) i3-3217U CPU @ 1.80GHz,27835580.0,10361919.0,Linux,x86_64,CPython,3.6.9,2021-04-26 16:21:10.064849
Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,44581354.0,15695898.0,Linux,x86_64,CPython,3.8.5,2021-05-23 08:28:19.023571
Intel(R) Xeon(R) CPU @ 2.30GHz,48751120.0,19196782.0,Linux,x86_64,CPython,3.6.13,2021-05-23 10:22:01.463102
Intel(R) Xeon(R) CPU @ 2.30GHz,48930195.0,19195978.0,Linux,x86_64,CPython,3.6.13,2021-05-24 03:58:50.089015
Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,80320917.0,26988348.0,Linux,x86_64,CPython,3.8.5,2021-06-11 13:42:19.725108
11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,88624983.0,28664054.0,Windows,AMD64,CPython,3.9.5,2021-06-13 13:31:34.183207
Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,71491110.0,24568669.0,Linux,x86_64,CPython,3.8.5,2021-06-16 16:28:59.454186
